iterations,mutation_rate,num_individuals,range_mutation,crossover_probability
1000000,0.5,200,0.55,0.6
1000000,0.5,200,0.55,0.7
1000000,0.5,200,0.9,0.5
1000000,0.5,200,0.9,0.6
1000000,0.5,200,0.9,0.7
1000000,0.5,200,2.0,0.5
1000000,0.5,200,2.0,0.6
1000000,0.5,200,2.0,0.7
1000000,0.5,200,5.0,0.5
1000000,0.5,200,5.0,0.6
1000000,0.5,200,5.0,0.7
1000000,1.0,100,0.01,0.5
1000000,1.0,100,0.01,0.6
1000000,1.0,100,0.01,0.7
1000000,1.0,100,0.25,0.5
1000000,1.0,100,0.25,0.6
1000000,1.0,100,0.25,0.7
1000000,1.0,100,0.55,0.5
1000000,1.0,100,0.55,0.6
1000000,1.0,100,0.55,0.7
1000000,1.0,100,0.9,0.5
1000000,1.0,100,0.9,0.6
1000000,1.0,100,0.9,0.7
1000000,1.0,100,2.0,0.5
1000000,1.0,100,2.0,0.6
1000000,1.0,100,2.0,0.7
1000000,1.0,100,5.0,0.5
1000000,1.0,100,5.0,0.6
1000000,1.0,100,5.0,0.7
1000000,1.0,200,0.01,0.5
1000000,1.0,200,0.01,0.6
1000000,1.0,200,0.01,0.7
1000000,1.0,200,0.25,0.5
1000000,1.0,200,0.25,0.6
1000000,1.0,200,0.25,0.7
1000000,1.0,200,0.55,0.5
1000000,1.0,200,0.55,0.6
1000000,1.0,200,0.55,0.7
1000000,1.0,200,0.9,0.5
1000000,1.0,200,0.9,0.6
1000000,1.0,200,0.9,0.7
1000000,1.0,200,2.0,0.5
1000000,1.0,200,2.0,0.6
1000000,1.0,200,2.0,0.7
1000000,1.0,200,5.0,0.5
1000000,1.0,200,5.0,0.6
1000000,1.0,200,5.0,0.7
1000000,2.0,100,0.01,0.5
1000000,2.0,100,0.01,0.6
1000000,2.0,100,0.01,0.7
1000000,2.0,100,0.25,0.5
1000000,2.0,100,0.25,0.6
1000000,2.0,100,0.25,0.7
1000000,2.0,100,0.55,0.5
1000000,2.0,100,0.55,0.6
1000000,2.0,100,0.55,0.7
1000000,2.0,100,0.9,0.5
1000000,2.0,100,0.9,0.6
1000000,2.0,100,0.9,0.7
1000000,2.0,100,2.0,0.5
1000000,2.0,100,2.0,0.6
1000000,2.0,100,2.0,0.7
1000000,2.0,100,5.0,0.5
1000000,2.0,100,5.0,0.6
1000000,2.0,100,5.0,0.7
1000000,2.0,200,0.01,0.5
1000000,2.0,200,0.01,0.6
1000000,2.0,200,0.01,0.7
1000000,2.0,200,0.25,0.5
1000000,2.0,200,0.25,0.6
1000000,2.0,200,0.25,0.7
1000000,2.0,200,0.55,0.5
1000000,2.0,200,0.55,0.6
1000000,2.0,200,0.55,0.7
1000000,2.0,200,0.9,0.5
1000000,2.0,200,0.9,0.6
1000000,2.0,200,0.9,0.7
1000000,2.0,200,2.0,0.5
1000000,2.0,200,2.0,0.6
1000000,2.0,200,2.0,0.7
1000000,2.0,200,5.0,0.5
1000000,2.0,200,5.0,0.6
1000000,2.0,200,5.0,0.7
1000000,5.0,100,0.01,0.5
1000000,5.0,100,0.01,0.6
1000000,5.0,100,0.01,0.7
1000000,5.0,100,0.25,0.5
1000000,5.0,100,0.25,0.6
1000000,5.0,100,0.25,0.7
1000000,5.0,100,0.55,0.5
1000000,5.0,100,0.55,0.6
1000000,5.0,100,0.55,0.7
1000000,5.0,100,0.9,0.5
1000000,5.0,100,0.9,0.6
1000000,5.0,100,0.9,0.7
1000000,5.0,100,2.0,0.5
1000000,5.0,100,2.0,0.6
1000000,5.0,100,2.0,0.7
1000000,5.0,100,5.0,0.5
1000000,5.0,100,5.0,0.6
1000000,5.0,100,5.0,0.7
1000000,5.0,200,0.01,0.5
1000000,5.0,200,0.01,0.6
1000000,5.0,200,0.01,0.7
1000000,5.0,200,0.25,0.5
1000000,5.0,200,0.25,0.6
1000000,5.0,200,0.25,0.7
1000000,5.0,200,0.55,0.5
1000000,5.0,200,0.55,0.6
1000000,5.0,200,0.55,0.7
1000000,5.0,200,0.9,0.5
1000000,5.0,200,0.9,0.6
1000000,5.0,200,0.9,0.7
1000000,5.0,200,2.0,0.5
1000000,5.0,200,2.0,0.6
1000000,5.0,200,2.0,0.7
1000000,5.0,200,5.0,0.5
1000000,5.0,200,5.0,0.6
1000000,5.0,200,5.0,0.7
1000000,10.0,100,0.01,0.5
1000000,10.0,100,0.01,0.6
1000000,10.0,100,0.01,0.7
1000000,10.0,100,0.25,0.5
1000000,10.0,100,0.25,0.6
1000000,10.0,100,0.25,0.7
1000000,10.0,100,0.55,0.5
1000000,10.0,100,0.55,0.6
1000000,10.0,100,0.55,0.7
1000000,10.0,100,0.9,0.5
1000000,10.0,100,0.9,0.6
1000000,10.0,100,0.9,0.7
1000000,10.0,100,2.0,0.5
1000000,10.0,100,2.0,0.6
1000000,10.0,100,2.0,0.7
1000000,10.0,100,5.0,0.5
1000000,10.0,100,5.0,0.6
1000000,10.0,100,5.0,0.7
1000000,10.0,200,0.01,0.5
1000000,10.0,200,0.01,0.6
1000000,10.0,200,0.01,0.7
1000000,10.0,200,0.25,0.5
1000000,10.0,200,0.25,0.6
1000000,10.0,200,0.25,0.7
1000000,10.0,200,0.55,0.5
1000000,10.0,200,0.55,0.6
1000000,10.0,200,0.55,0.7
1000000,10.0,200,0.9,0.5
1000000,10.0,200,0.9,0.6
1000000,10.0,200,0.9,0.7
1000000,10.0,200,2.0,0.5
1000000,10.0,200,2.0,0.6
1000000,10.0,200,2.0,0.7
1000000,10.0,200,5.0,0.5
1000000,10.0,200,5.0,0.6
1000000,10.0,200,5.0,0.7
